model,category,CC_mean_mean,CC_mean_std,SIM_mean_mean,SIM_mean_std,KL_mean_mean,KL_mean_std
claude-opus-4.6,desktop,0.4789758269652573,0.1626113963311602,0.5479368075652502,0.08534282599278478,1.1202614486876288,0.7059790170771616
claude-opus-4.6,mobile,0.30104055030555155,0.3007765805998593,0.4409834362066474,0.18283433609365865,2.317027165337924,1.4158990519977108
claude-opus-4.6,poster,0.4614817503657461,0.1485223832122964,0.5235352882418897,0.0751737738611942,1.0530830078237223,0.46778893024018187
claude-opus-4.6,web,0.3000999161667335,0.2274482671680224,0.4203409338802436,0.1023953159852883,1.9881717621750734,1.0813188535688603
claude-sonnet-4.6,desktop,0.3911668696683058,0.22077563146978746,0.5156268647710273,0.07660499628689942,1.023497274078739,0.4854728781230374
claude-sonnet-4.6,mobile,0.18553677099831145,0.26295333360122275,0.3532987212556408,0.16797318095988936,3.3414828574632223,1.641420784295802
claude-sonnet-4.6,poster,0.4002243127915075,0.1498557289120668,0.48731609533210063,0.0899611779494988,1.3315860082708357,0.9150660266961825
claude-sonnet-4.6,web,0.20390448927219262,0.1936850305409541,0.38092792491624194,0.08879100513641187,2.2043704648411717,1.1700972828290317
gemini-3.1-flash-lite,desktop,0.23044314482833106,0.2661237943133333,0.3678311057039734,0.20672514578925105,3.5412572009033574,3.606771034927042
gemini-3.1-flash-lite,mobile,0.0690512488756593,0.2919395447168171,0.1535845261464117,0.23398719692884043,7.2190486525838065,3.4861372299839304
gemini-3.1-flash-lite,poster,0.26179430070751075,0.30155013076209297,0.3511741571327919,0.2326767448409604,4.296415044735812,3.996292396491957
gemini-3.1-flash-lite,web,0.0636151607257453,0.2201331841866408,0.17749452118660136,0.17802188025545776,6.698188889309323,3.6986671644157774
gemini-3.1-pro,desktop,0.3134552988042248,0.24672202110415759,0.3941495013762963,0.20126076068538232,3.6920731726356935,3.212564357076338
gemini-3.1-pro,mobile,0.2582667625951917,0.21694714199692686,0.34773357839388597,0.16676687667414136,3.55002760940888,2.265664814786727
gemini-3.1-pro,poster,0.20518195535106903,0.246608551834791,0.26209303978530246,0.20837481714001826,5.670285664085992,3.462562098042559
gemini-3.1-pro,web,-0.007612882968692369,0.0998247341491886,0.12939082524056347,0.1076613410201977,7.524007570172836,2.605248268568635
gpt-5.4,desktop,0.5387323321407484,0.11277434312919285,0.5775636499407782,0.05378326688013958,0.7100914745684245,0.23338796747636534
gpt-5.4,mobile,0.37118227130283754,0.17047135434517632,0.472014322178433,0.09756265529402995,1.8875727244014215,0.8900693362263834
gpt-5.4,poster,0.49560816679057174,0.1086839592788836,0.5454205164155337,0.05038816976279091,0.9714479523431987,0.3814222430676838
gpt-5.4,web,0.3071760345893582,0.17840978357265436,0.43820195510063165,0.06297347619153396,1.4667517393160396,0.528003470335745
gpt-5.4-mini,desktop,0.384392779870682,0.18094682124406927,0.5079589059911591,0.04274635558784142,0.9305390637393902,0.2360498153514522
gpt-5.4-mini,mobile,0.24729924506016804,0.1666903979141525,0.41532122711294656,0.09528139888241707,2.17020769165505,0.9098746048730548
gpt-5.4-mini,poster,0.39801311917646115,0.12358779955641987,0.4946394311483461,0.05783804010445986,1.1618071310514126,0.5048873746416127
gpt-5.4-mini,web,0.2525563102195507,0.1260951302220397,0.4111283821568927,0.06480355846548332,1.510398151816725,0.5492897582950884
qwen-3.5-plus,desktop,0.49455359866461795,0.16657578721363425,0.5619943939117655,0.05072470810758961,0.7534993030015206,0.19541916788700586
qwen-3.5-plus,mobile,0.42827252742295646,0.14062529696799195,0.5090671025220908,0.08215380889522808,1.5497896574398635,0.7261878251609364
qwen-3.5-plus,poster,0.6097284054074865,0.12980989753115113,0.5868546044319067,0.07523588741966496,0.7865812703677021,0.37404587474085793
qwen-3.5-plus,web,0.4127002233151619,0.17399507031113182,0.485444305038524,0.07986062121246112,1.1500970983659862,0.3765504707569467
